visit_id,customer_id,customer_name,age,phone,date,arrival_time,food_ordered,taste_rating,price_rating,avg_rating,how_many_with_him
V00001,C0136,Amit Chauhan,35,9406724749,2025-12-25,2025-12-25 20:24:00,Soft Drinks,3,4,3.5,2
V00002,C0136,Amit Chauhan,35,9406724749,2025-12-25,2025-12-25 20:44:00,Soft Drinks,4,4,4.0,1
V00003,C0254,Yogesh Agarwal,39,9613115007,2025-12-25,2025-12-25 17:19:00,Chicken Burger,4,1,2.5,2
V00004,C0193,Nikhil Agarwal,45,9340762986,2025-12-25,2025-12-25 18:01:00,Margherita Pizza,5,1,3.0,1
V00005,C0017,Neha Patel,53,9463994718,2025-12-25,2025-12-25 18:35:00,Caesar Salad,4,3,3.5,2
V00006,C0096,Divya Yadav,32,9575069437,2025-12-25,2025-12-25 13:10:00,Caesar Salad,5,5,5.0,4
V00007,C0151,Vikram Verma,62,9433079156,2025-12-25,2025-12-25 13:58:00,French Fries,3,2,2.5,1
V00008,C0077,Sunny Bansal,32,9111489296,2025-12-25,2025-12-25 20:39:00,Cold Coffee,5,1,3.0,3
V00009,C0025,Alisha Bansal,18,9436748253,2025-12-25,2025-12-25 12:28:00,Chocolate Shake,3,5,4.0,1
V00010,C0047,Komal Singh,29,9067243054,2025-12-25,2025-12-25 19:23:00,French Fries,3,5,4.0,2
V00011,C0101,Mohit Patel,50,9601594006,2025-12-25,2025-12-25 13:46:00,Vegetable Chowmein,3,1,2.0,2
V00012,C0115,Sakshi Verma,49,9522143704,2025-12-25,2025-12-25 20:22:00,Pepperoni Pizza,5,3,4.0,2
V00013,C0164,Vikram Yadav,17,9491124036,2025-12-25,2025-12-25 11:37:00,Spring Rolls,4,4,4.0,2
V00014,C0048,Ritika Gupta,41,9222192496,2025-12-25,2025-12-25 21:49:00,French Fries,4,4,4.0,3
V00015,C0102,Tanya Patel,59,9851433854,2025-12-25,2025-12-25 18:57:00,Momos,3,1,2.0,3
V00016,C0017,Neha Patel,53,9463994718,2025-12-25,2025-12-25 21:24:00,Caesar Salad,1,5,3.0,1
V00017,C0008,Arjun Tyagi,60,9600804883,2025-12-25,2025-12-25 13:38:00,Pasta Alfredo,4,2,3.0,1
V00018,C0056,Alisha Sharma,24,9752941528,2025-12-25,2025-12-25 12:49:00,Spring Rolls,4,3,3.5,2
V00019,C0018,Amit Yadav,63,9962457073,2025-12-25,2025-12-25 12:21:00,Momos,4,2,3.0,1
V00020,C0209,Sunny Mehta,51,9848897754,2025-12-25,2025-12-25 11:18:00,Veg Burger,5,2,3.5,2
