visit_id,customer_id,customer_name,age,phone,date,arrival_time,food_ordered,taste_rating,price_rating,avg_rating,how_many_with_him,Avg_Taste,Avg_Price,Cluster,Prev_Cluster,Cluster_Changed
V00299,C0001,Anu Singh,26,9456617154,2025-12-25,2025-12-25 17:39:00,Chicken Burger,5,1,3.0,3,3.0,1.3333333333333333,3,,True
V00314,C0001,Anu Singh,26,9456617154,2025-12-25,2025-12-25 21:18:00,Chicken Burger,2,2,2.0,2,3.0,1.3333333333333333,3,3.0,False
V00347,C0001,Anu Singh,26,9456617154,2025-12-25,2025-12-25 21:08:00,Chicken Burger,2,1,1.5,1,3.0,1.3333333333333333,3,3.0,False
V00739,C0001,Anu Singh,26,9456617154,2025-12-26,2025-12-26 20:38:00,Chicken Burger,3,3,3.0,4,2.6666666666666665,4.0,5,3.0,True
V00842,C0001,Anu Singh,26,9456617154,2025-12-26,2025-12-26 14:16:00,Chicken Burger,3,4,3.5,1,2.6666666666666665,4.0,5,5.0,False
V00877,C0001,Anu Singh,26,9456617154,2025-12-26,2025-12-26 17:25:00,Chicken Burger,2,5,3.5,2,2.6666666666666665,4.0,5,5.0,False
V01128,C0001,Anu Singh,26,9456617154,2025-12-27,2025-12-27 19:11:00,Chicken Burger,5,2,3.5,1,3.3333333333333335,3.0,0,5.0,True
V01235,C0001,Anu Singh,26,9456617154,2025-12-27,2025-12-27 11:21:00,Chicken Burger,3,2,2.5,2,3.3333333333333335,3.0,0,0.0,False
V01344,C0001,Anu Singh,26,9456617154,2025-12-27,2025-12-27 20:34:00,Chicken Burger,2,5,3.5,3,3.3333333333333335,3.0,0,0.0,False
V01531,C0001,Anu Singh,26,9456617154,2025-12-28,2025-12-28 20:11:00,Chicken Burger,2,2,2.0,1,1.5,2.0,1,0.0,True
V01888,C0001,Anu Singh,26,9456617154,2025-12-28,2025-12-28 21:44:00,Chicken Burger,1,2,1.5,3,1.5,2.0,1,1.0,False
V02014,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 18:09:00,Chicken Burger,1,1,1.0,2,2.5,1.5,1,1.0,False
V02071,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 14:03:00,Chicken Burger,5,4,4.5,2,2.5,1.5,1,1.0,False
V02237,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 20:15:00,Chicken Burger,3,1,2.0,3,2.5,1.5,1,1.0,False
V02341,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 14:31:00,Chicken Burger,1,1,1.0,2,2.5,1.5,1,1.0,False
V02407,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 13:49:00,Chicken Burger,3,1,2.0,1,2.5,1.5,1,1.0,False
V02489,C0001,Anu Singh,26,9456617154,2025-12-29,2025-12-29 17:41:00,Chicken Burger,2,1,1.5,1,2.5,1.5,1,1.0,False
V02799,C0001,Anu Singh,26,9456617154,2025-12-30,2025-12-30 18:44:00,Chicken Burger,1,5,3.0,3,1.0,5.0,5,1.0,True
V03605,C0001,Anu Singh,26,9456617154,2026-01-01,2026-01-01 21:37:00,Chicken Burger,3,5,4.0,5,3.0,5.0,5,5.0,False
V04327,C0001,Anu Singh,26,9456617154,2026-01-02,2026-01-02 20:24:00,Chicken Burger,4,4,4.0,1,2.5,2.5,1,5.0,True
V04332,C0001,Anu Singh,26,9456617154,2026-01-02,2026-01-02 12:16:00,Chicken Burger,1,1,1.0,2,2.5,2.5,1,1.0,False
V04782,C0001,Anu Singh,26,9456617154,2026-01-03,2026-01-03 13:35:00,Chicken Burger,2,1,1.5,2,2.0,1.0,1,1.0,False
V05212,C0001,Anu Singh,26,9456617154,2026-01-04,2026-01-04 12:18:00,Chicken Burger,5,1,3.0,2,4.5,1.5,3,1.0,True
